Date (Beijing Time),ETH/USDT Close Price
2020-07-13,241.79000000
2020-07-14,238.80000000
2020-07-15,240.72000000
2020-07-16,238.79000000
2020-07-17,232.90000000
2020-07-18,232.56000000
2020-07-19,236.10000000
2020-07-20,238.73000000
2020-07-21,236.67000000
2020-07-22,244.21000000
2020-07-23,264.32000000
2020-07-24,273.92000000
2020-07-25,280.56000000
2020-07-26,302.32000000
2020-07-27,314.09000000
2020-07-28,324.77000000
2020-07-29,313.98000000
2020-07-30,319.25000000
2020-07-31,334.75000000
2020-08-01,344.01000000
2020-08-02,388.07000000
2020-08-03,377.98000000
2020-08-04,400.30000000
2020-08-05,388.47000000
2020-08-06,399.42000000
2020-08-07,395.03000000
2020-08-08,379.30000000
2020-08-09,397.89000000
2020-08-10,391.20000000
2020-08-11,395.38000000
2020-08-12,376.67000000
2020-08-13,393.83000000
2020-08-14,424.49000000
2020-08-15,438.56000000
2020-08-16,426.95000000
2020-08-17,430.52000000
2020-08-18,432.94000000
2020-08-19,424.41000000
2020-08-20,411.79000000
2020-08-21,415.33000000
2020-08-22,381.40000000
2020-08-23,393.31000000
2020-08-24,389.93000000
2020-08-25,405.39000000
2020-08-26,379.20000000
2020-08-27,388.13000000
2020-08-28,383.85000000
2020-08-29,393.77000000
2020-08-30,401.40000000
2020-08-31,426.07000000
2020-09-01,433.34000000
2020-09-02,469.07000000
2020-09-03,444.27000000
2020-09-04,388.67000000
2020-09-05,389.38000000
2020-09-06,339.32000000
2020-09-07,356.49000000
2020-09-08,348.17000000
2020-09-09,338.62000000
2020-09-10,356.07000000
2020-09-11,369.13000000
2020-09-12,371.16000000
2020-09-13,384.26000000
2020-09-14,358.03000000
2020-09-15,376.94000000
2020-09-16,357.16000000
2020-09-17,378.66000000
2020-09-18,387.19000000
2020-09-19,383.72000000
2020-09-20,383.64000000
2020-09-21,374.45000000
2020-09-22,342.51000000
2020-09-23,342.63000000
2020-09-24,322.60000000
2020-09-25,347.76000000
2020-09-26,350.58000000
2020-09-27,359.77000000
2020-09-28,357.85000000
2020-09-29,354.65000000
2020-09-30,357.66000000
2020-10-01,359.35000000
2020-10-02,351.06000000
2020-10-03,344.01000000
2020-10-04,346.87000000
2020-10-05,354.11000000
2020-10-06,352.36000000
2020-10-07,339.20000000
2020-10-08,339.86000000
2020-10-09,349.21000000
2020-10-10,367.06000000
2020-10-11,370.16000000
2020-10-12,373.86000000
2020-10-13,386.24000000
2020-10-14,384.52000000
2020-10-15,377.72000000
2020-10-16,377.92000000
2020-10-17,364.36000000
2020-10-18,368.86000000
2020-10-19,375.41000000
2020-10-20,378.75000000
2020-10-21,371.94000000
2020-10-22,395.85000000
2020-10-23,412.00000000
2020-10-24,408.06000000
2020-10-25,412.98000000
2020-10-26,407.96000000
2020-10-27,394.72000000
2020-10-28,405.35000000
2020-10-29,388.17000000
2020-10-30,390.74000000
2020-10-31,383.84000000
2020-11-01,386.76000000
2020-11-02,402.45000000
2020-11-03,383.94000000
2020-11-04,384.14000000
2020-11-05,401.57000000
2020-11-06,425.94000000
2020-11-07,463.17000000
2020-11-08,438.04000000
2020-11-09,456.70000000
2020-11-10,445.07000000
2020-11-11,463.38000000
2020-11-12,458.11000000
2020-11-13,463.72000000
2020-11-14,474.27000000
2020-11-15,461.64000000
2020-11-16,449.82000000
2020-11-17,468.08000000
2020-11-18,486.75000000
2020-11-19,478.81000000
2020-11-20,471.47000000
2020-11-21,516.04000000
2020-11-22,550.72000000
2020-11-23,552.99000000
2020-11-24,611.23000000
2020-11-25,601.57000000
2020-11-26,575.39000000
2020-11-27,528.60000000
2020-11-28,518.62000000
2020-11-29,537.46000000
2020-11-30,587.22000000
2020-12-01,605.63000000
2020-12-02,593.21000000
2020-12-03,596.00000000
2020-12-04,617.36000000
2020-12-05,571.79000000
2020-12-06,605.10000000
2020-12-07,597.86000000
2020-12-08,590.87000000
2020-12-09,550.37000000
2020-12-10,567.16000000
2020-12-11,548.64000000
2020-12-12,555.15000000
2020-12-13,565.70000000
2020-12-14,584.48000000
2020-12-15,588.86000000
2020-12-16,585.14000000
2020-12-17,644.66000000
2020-12-18,639.61000000
2020-12-19,648.94000000
2020-12-20,648.05000000
2020-12-21,643.11000000
2020-12-22,605.17000000
2020-12-23,637.71000000
2020-12-24,576.60000000
2020-12-25,611.92000000
2020-12-26,625.17000000
2020-12-27,638.31000000
2020-12-28,707.87000000
2020-12-29,719.69000000
2020-12-30,741.45000000
2020-12-31,745.43000000
2021-01-01,734.07000000
2021-01-02,719.90000000
2021-01-03,775.81000000
2021-01-04,975.80000000
2021-01-05,1095.03000000
2021-01-06,1081.16000000
2021-01-07,1199.80000000
2021-01-08,1182.96000000
2021-01-09,1197.93000000
2021-01-10,1289.91000000
2021-01-11,1218.80000000
2021-01-12,1061.88000000
2021-01-13,991.32000000
2021-01-14,1133.79000000
2021-01-15,1237.10000000
2021-01-16,1188.41000000
2021-01-17,1235.64000000
2021-01-18,1242.66000000
2021-01-19,1261.56000000
2021-01-20,1405.00000000
2021-01-21,1363.48000000
2021-01-22,1066.54000000
2021-01-23,1228.06000000
2021-01-24,1232.01000000
2021-01-25,1456.96000000
2021-01-26,1367.83000000
2021-01-27,1346.31000000
2021-01-28,1258.62000000
2021-01-29,1367.70000000
2021-01-30,1366.57000000
2021-01-31,1367.24000000
2021-02-01,1279.97000000
2021-02-02,1380.61000000
2021-02-03,1519.39000000
2021-02-04,1677.53000000
2021-02-05,1614.66000000
2021-02-06,1727.46000000
2021-02-07,1682.99000000
2021-02-08,1596.45000000
2021-02-09,1753.07000000
2021-02-10,1786.60000000
2021-02-11,1718.61000000
2021-02-12,1791.46000000
2021-02-13,1856.43000000
2021-02-14,1832.13000000
2021-02-15,1806.49000000
2021-02-16,1774.66000000
2021-02-17,1765.18000000
2021-02-18,1869.53000000
2021-02-19,1928.42000000
2021-02-20,1933.46000000
2021-02-21,1918.06000000
2021-02-22,1887.08000000
2021-02-23,1760.04000000
2021-02-24,1568.06000000
2021-02-25,1651.93000000
2021-02-26,1480.44000000
2021-02-27,1490.25000000
2021-02-28,1460.40000000
2021-03-01,1440.76000000
2021-03-02,1564.33000000
2021-03-03,1500.78000000
2021-03-04,1592.90000000
2021-03-05,1478.94000000
2021-03-06,1542.00000000
2021-03-07,1671.00000000
2021-03-08,1742.21000000
2021-03-09,1814.91000000
2021-03-10,1869.36000000
2021-03-11,1779.83000000
2021-03-12,1815.96000000
2021-03-13,1752.73000000
2021-03-14,1914.74000000
2021-03-15,1871.40000000
2021-03-16,1731.51000000
2021-03-17,1783.47000000
2021-03-18,1818.38000000
2021-03-19,1760.22000000
2021-03-20,1815.59000000
2021-03-21,1804.27000000
2021-03-22,1757.44000000
2021-03-23,1692.53000000
2021-03-24,1654.13000000
2021-03-25,1591.48000000
2021-03-26,1620.51000000
2021-03-27,1694.45000000
2021-03-28,1709.55000000
2021-03-29,1684.62000000
2021-03-30,1810.14000000
2021-03-31,1858.03000000
2021-04-01,1932.38000000
2021-04-02,1958.16000000
2021-04-03,2121.25000000
2021-04-04,2001.76000000
2021-04-05,2056.19000000
2021-04-06,2141.65000000
2021-04-07,2092.02000000
2021-04-08,1985.80000000
2021-04-09,2092.18000000
2021-04-10,2066.51000000
2021-04-11,2136.47000000
2021-04-12,2138.28000000
2021-04-13,2158.83000000
2021-04-14,2298.15000000
2021-04-15,2415.92000000
2021-04-16,2528.51000000
2021-04-17,2460.00000000
2021-04-18,2283.15000000
2021-04-19,2256.00000000
2021-04-20,2088.50000000
2021-04-21,2285.99000000
2021-04-22,2416.05000000
2021-04-23,2373.86000000
2021-04-24,2264.51000000
2021-04-25,2215.63000000
2021-04-26,2414.43000000
2021-04-27,2507.01000000
2021-04-28,2693.12000000
2021-04-29,2724.84000000
2021-04-30,2735.39000000
2021-05-01,2768.75000000
2021-05-02,2932.02000000
2021-05-03,2994.06000000
2021-05-04,3260.06000000
2021-05-05,3310.46000000
2021-05-06,3475.65000000
2021-05-07,3493.86000000
2021-05-08,3523.02000000
2021-05-09,3835.21000000
2021-05-10,3909.44000000
2021-05-11,3856.43000000
2021-05-12,4195.32000000
2021-05-13,3896.36000000
2021-05-14,3822.53000000
2021-05-15,4032.96000000
2021-05-16,3767.00000000
2021-05-17,3465.98000000
2021-05-18,3355.43000000
2021-05-19,3354.13000000
2021-05-20,2230.90000000
2021-05-21,2903.92000000
2021-05-22,2447.60000000
2021-05-23,2361.95000000
2021-05-24,2133.24000000
2021-05-25,2711.37000000
2021-05-26,2681.52000000
2021-05-27,2812.27000000
2021-05-28,2704.34000000
2021-05-29,2492.28000000
2021-05-30,2227.77000000
2021-05-31,2354.01000000
2021-06-01,2730.67000000
2021-06-02,2585.32000000
2021-06-03,2705.29000000
2021-06-04,2811.45000000
2021-06-05,2769.46000000
2021-06-06,2628.44000000
2021-06-07,2763.00000000
2021-06-08,2588.97000000
2021-06-09,2453.37000000
2021-06-10,2579.21000000
2021-06-11,2437.07000000
2021-06-12,2340.85000000
2021-06-13,2388.46000000
2021-06-14,2498.97000000
2021-06-15,2597.63000000
2021-06-16,2518.79000000
